symbol,name,sector,sub_industry,degree_centrality,weighted_degree,betweenness,eigenvector,closeness
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,0.15,29.323919064663734,5.6112224448897796e-05,0.059340714463491415,0.16623627240281683
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,0.162,28.963941528910663,0.0007214428857715431,0.046961275691596464,0.1553664481191665
HUM,Humana,Health Care,Managed Health Care,0.008,1.7093650120675754,0.0,0.0001501843595625972,0.09666468674342657
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,0.024,4.314531471461381,0.00019238476953907816,0.00429833215246266,0.12526641058829863
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,0.136,23.555289268683964,0.004448897795591183,0.040747069995370436,0.15803917588119118
IBM,IBM,Information Technology,IT Consulting & Other Services,0.004,0.6722262505733441,0.0,1.2190247820365801e-05,0.08371975005002713
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0.11800000000000001,20.776026870420292,0.004601202404809619,0.03709520603301346,0.15526767190166052
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,0.0,0.0,0.0,4.297616962637649e-15,0.0
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,0.016,2.7955358587330803,0.0005691382765531062,0.0003792055656870657,0.10963137626590387
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,0.01,1.6948068518111574,0.00020841683366733466,0.0015350195127884613,0.1252217974174095
INCY,Incyte,Health Care,Biotechnology,0.002,0.3250698319445749,0.0,4.320016501939913e-05,0.09266162245664356
INTC,Intel,Information Technology,Semiconductors,0.01,1.639893180547323,0.0,0.003002958328340619,0.11632189903778603
INTU,Intuit,Information Technology,Application Software,0.034,6.292116346146146,0.0026052104208416833,0.0007515769264261063,0.11208588714390803
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,0.128,24.626664928909427,0.0002484969939879759,0.05021121267123076,0.15490501648913504
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,0.006,1.3380394782238296,0.0001282565130260521,9.183312752548255e-06,0.09130312799958665
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0.016,3.7717965568020486,0.0,1.281868470755051e-05,0.09491992960047363
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,0.07,11.75536356354704,0.005763527054108216,0.021185861698145094,0.14524690522156278
IRM,Iron Mountain,Real Estate,Other Specialized REITs,0.004,0.9697126389884845,0.0,1.506042248195975e-05,0.09227091618374132
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0.006,0.9685256186701818,6.412825651302605e-05,2.5889987975652822e-05,0.09454779667917639
IT,Gartner,Information Technology,IT Consulting & Other Services,0.022,3.8382739520727256,0.001154308617234469,6.39750694513581e-05,0.0938999612415846
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,0.05,8.665589232565475,0.02713426853707415,0.0018964042445574361,0.12923501225337602
